match_id,timestamp,type,killerId,details
NA1_5147448578,825642,BUILDING_KILL,4.0,{}
NA1_5147448578,828548,CHAMPION_KILL,1.0,{}
NA1_5147448578,828548,CHAMPION_SPECIAL_KILL,1.0,{}
NA1_5147448578,828548,CHAMPION_SPECIAL_KILL,1.0,{}
NA1_5147448578,831353,CHAMPION_KILL,7.0,{}
NA1_5147448578,839102,BUILDING_KILL,4.0,{}
NA1_5147448578,846483,CHAMPION_KILL,5.0,{}
NA1_5147448578,846617,CHAMPION_KILL,9.0,{}
NA1_5147448578,850925,BUILDING_KILL,4.0,{}
NA1_5147448578,859175,CHAMPION_KILL,8.0,{}
NA1_5147448578,865153,CHAMPION_KILL,3.0,{}
NA1_5147448578,870229,CHAMPION_KILL,8.0,{}
NA1_5147448578,870864,CHAMPION_KILL,8.0,{}
NA1_5147448578,870864,CHAMPION_SPECIAL_KILL,8.0,{}
NA1_5147448578,943176,CHAMPION_KILL,5.0,{}
NA1_5147448578,944990,CHAMPION_KILL,3.0,{}
NA1_5147448578,949615,CHAMPION_KILL,10.0,{}
NA1_5147448578,950349,CHAMPION_KILL,1.0,{}
NA1_5147448578,953756,CHAMPION_KILL,3.0,{}
NA1_5147448578,953756,CHAMPION_SPECIAL_KILL,3.0,{}
NA1_5147448578,961238,CHAMPION_KILL,2.0,{}
NA1_5147448578,961238,CHAMPION_SPECIAL_KILL,2.0,{}
